index,time_s,pu,adc_value,label
873,17.46,1.0006,682,normal
874,17.48,0.9811,669,normal
875,17.50,0.9804,668,normal
876,17.52,0.9999,681,normal
877,17.54,0.9978,680,normal
878,17.56,0.9990,681,normal
879,17.58,0.9997,681,normal
880,17.60,1.0023,683,normal
881,17.62,1.0095,688,normal
882,17.64,0.9889,674,normal
883,17.66,0.9883,674,normal
884,17.68,0.9891,674,normal
885,17.70,1.0029,683,normal
886,17.72,1.0124,690,normal
887,17.74,0.9957,679,normal
888,17.76,0.9750,664,normal
889,17.78,0.9830,670,normal
890,17.80,0.9917,676,normal
891,17.82,0.9944,678,normal
892,17.84,0.9959,679,normal
893,17.86,1.0004,682,normal
894,17.88,0.9969,679,normal
895,17.90,1.0105,689,normal
896,17.92,0.9932,677,normal
897,17.94,0.9914,676,normal
898,17.96,1.0048,685,normal
899,17.98,0.9846,671,normal
900,18.00,1.0039,684,normal
901,18.02,1.0010,682,normal
902,18.04,0.9985,680,normal
903,18.06,1.0159,692,normal
904,18.08,0.9938,677,normal
905,18.10,1.0206,696,normal
906,18.12,0.9977,680,normal
907,18.14,0.9872,673,normal
908,18.16,1.0007,682,normal
909,18.18,0.9892,674,normal
910,18.20,0.9925,676,normal
911,18.22,1.0040,684,normal
912,18.24,1.0056,685,normal
913,18.26,0.9938,677,normal
914,18.28,1.0099,688,normal
915,18.30,1.0116,689,normal
916,18.32,1.0144,691,normal
917,18.34,1.0053,685,normal
918,18.36,1.0136,691,normal
919,18.38,0.9812,669,normal
920,18.40,0.9968,679,normal
921,18.42,0.9913,676,normal
922,18.44,1.0012,682,normal
923,18.46,0.9943,678,normal
924,18.48,0.9983,680,normal
925,18.50,1.0188,694,normal
926,18.52,0.9983,680,normal
927,18.54,1.0041,684,normal
928,18.56,0.9977,680,normal
929,18.58,1.0008,682,normal
930,18.60,1.0001,682,normal
931,18.62,1.0045,685,normal
932,18.64,1.0117,689,normal
933,18.66,1.0165,693,normal
934,18.68,1.0031,684,normal
935,18.70,1.0059,686,normal
936,18.72,0.9885,674,normal
937,18.74,0.9991,681,normal
938,18.76,1.0094,688,normal
939,18.78,1.0087,687,normal
940,18.80,1.0021,683,normal
941,18.82,1.0089,688,normal
942,18.84,1.0049,685,normal
943,18.86,1.0120,690,normal
944,18.88,1.0029,683,normal
945,18.90,0.9964,679,normal
946,18.92,1.0034,684,normal
947,18.94,0.9707,662,normal
948,18.96,1.0038,684,normal
949,18.98,0.9635,657,normal
950,19.00,0.9828,670,normal
951,19.02,1.0045,685,normal
952,19.04,1.0048,685,normal
953,19.06,0.9884,674,normal
954,19.08,0.9929,677,normal
955,19.10,1.0137,691,normal
956,19.12,0.9952,678,normal
957,19.14,1.0224,697,normal
958,19.16,1.0000,681,normal
959,19.18,1.0041,684,normal
960,19.20,1.0162,693,normal
961,19.22,1.0013,682,normal
962,19.24,0.9900,675,normal
963,19.26,0.9989,681,normal
964,19.28,0.9996,681,normal
965,19.30,0.9864,672,normal
966,19.32,0.9974,680,normal
967,19.34,0.9926,676,normal
968,19.36,1.0092,688,normal
969,19.38,1.0003,682,normal
970,19.40,0.9972,680,normal
971,19.42,0.9989,681,normal
972,19.44,1.0022,683,normal
973,19.46,1.0062,686,normal
974,19.48,0.9900,675,normal
975,19.50,0.9896,674,normal
976,19.52,1.0110,689,normal
977,19.54,0.9959,679,normal
978,19.56,0.9858,672,normal
979,19.58,1.0044,685,normal
980,19.60,1.0046,685,normal
981,19.62,0.9847,671,normal
982,19.64,1.0023,683,normal
983,19.66,1.0074,687,normal
984,19.68,1.0037,684,normal
985,19.70,1.0063,686,normal
986,19.72,0.9860,672,normal
987,19.74,1.0033,684,normal
988,19.76,0.9970,679,normal
989,19.78,0.9952,678,normal
990,19.80,1.0087,687,normal
991,19.82,1.0148,692,normal
992,19.84,1.0179,694,normal
993,19.86,1.0131,690,normal
994,19.88,0.9989,681,normal
995,19.90,1.0035,684,normal
996,19.92,1.0077,687,normal
997,19.94,1.0012,682,normal
998,19.96,1.0013,682,normal
999,19.98,1.0082,687,normal
